fold_id,model_type,class,f1
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,lda,Fist,0.945205
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,lda,Pinch,0.901345
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,lda,Tripod,0.877953
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,lda,Rest,0.845701
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,lda,Fist,0.828402
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,lda,Pinch,0.642978
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,lda,Tripod,0.468468
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,lda,Rest,0.96981
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,lda,Fist,0.578216
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,lda,Pinch,0.550982
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,lda,Tripod,0.146154
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,lda,Rest,0.961581
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,lda,Fist,0.967462
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,lda,Pinch,0.740385
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,lda,Tripod,0.734694
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,lda,Rest,0.963883
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,lda,Fist,0.989011
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,lda,Pinch,0.906318
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,lda,Tripod,0.904167
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,lda,Rest,0.943182
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,lda,Fist,0.007843
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,lda,Pinch,0.150198
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,lda,Tripod,0.477578
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,lda,Rest,0.922902
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,lda,Fist,0.775401
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,lda,Pinch,0.391608
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,lda,Tripod,0.620596
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,lda,Rest,0.882488
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,lda,Fist,0.79703
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,lda,Pinch,0.664835
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,lda,Tripod,0.677019
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,lda,Rest,0.90364
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,lda,Fist,0.848921
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,lda,Pinch,0.862745
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,lda,Tripod,0.863309
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,lda,Fist,1.0
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,lda,Pinch,0.951096
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,lda,Tripod,0.914761
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,lda,Fist,1.0
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,lda,Pinch,0.918121
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,lda,Tripod,0.92517
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,lda,Fist,0.852071
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,lda,Pinch,0.905093
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,lda,Tripod,0.556818
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,lda,Fist,0.990354
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,lda,Pinch,0.914072
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,lda,Tripod,0.72428
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,lda,Fist,0.938356
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,lda,Pinch,0.882653
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,lda,Tripod,0.828897
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,lda,Fist,0.575758
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,lda,Pinch,0.0
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,lda,Tripod,0.848654
intra_loso_session__VP_01__2026-04-30_11-29-09_3rep,lda,Fist,0.951631
intra_loso_session__VP_01__2026-04-30_11-29-09_3rep,lda,Pinch,0.816794
intra_loso_session__VP_01__2026-04-30_11-29-09_3rep,lda,Tripod,0.690423
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,lda,Fist,0.366955
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,lda,Pinch,0.27438
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,lda,Tripod,0.0
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,Fist,0.982533
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,Pinch,0.981053
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,Tripod,0.980645
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,lda,Fist,1.0
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,lda,Pinch,0.985075
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,lda,Tripod,0.985201
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,Rest,0.939859
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,Fist,0.934653
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,Pinch,0.87218
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,Tripod,0.881226
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,Rest,0.911138
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,Fist,0.915521
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,Pinch,0.799308
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,Tripod,0.847909
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,Fist,0.806283
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,Pinch,0.199426
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,Tripod,0.347607
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,Rest,0.647059
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,Fist,0.616147
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,Pinch,0.32687
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,Tripod,0.003854
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,Rest,0.030435
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,Fist,0.553672
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,Pinch,0.008734
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,Tripod,0.361719
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,Rest,0.97481
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,Fist,0.902732
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,Pinch,0.604913
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,Tripod,0.090147
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,lda,Rest,0.923246
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,lda,Fist,0.903981
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,lda,Pinch,0.552632
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,lda,Tripod,0.697674
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,lda,Rest,0.954048
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,lda,Fist,0.987013
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,lda,Pinch,0.70377
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,lda,Tripod,0.578797
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,lda,Rest,0.929766
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,lda,Fist,0.923077
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,lda,Pinch,0.684211
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,lda,Tripod,0.739927
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,lda,Rest,0.958843
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,lda,Fist,0.926174
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,lda,Pinch,0.777778
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,lda,Tripod,0.611702
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,lda,Rest,0.945976
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,lda,Fist,0.948081
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,lda,Pinch,0.595745
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,lda,Tripod,0.757246
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,lda,Rest,0.96696
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,lda,Fist,0.943311
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,lda,Pinch,0.776062
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,lda,Tripod,0.677966
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,lda,Rest,0.0
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,lda,Fist,0.27862
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,lda,Pinch,0.158996
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,lda,Tripod,0.067416
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,lda,Rest,0.513771
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,lda,Fist,0.01407
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,lda,Pinch,0.0
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,lda,Tripod,0.0
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,lda,Rest,0.545498
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,lda,Fist,0.066568
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,lda,Pinch,0.03653
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,lda,Tripod,0.084211
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,lda,Rest,0.817213
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,lda,Fist,0.0
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,lda,Pinch,0.0
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,lda,Tripod,0.0
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,lda,Rest,0.588389
