fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,52963,0,703,0.9758179231863442,0.7360576359902432,,,0.3619608879089355,0.0027809848486953,1901635351
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,lda,52959,0,707,0.99009900990099,0.9900918241772112,,,0.3775029182434082,0.0058670529550339,388695375
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,51681,0,1985,0.9224181360201512,0.9069797374476708,,,0.3675127029418945,0.00129370605315,1815580470
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,51616,0,2050,0.8878048780487805,0.8684688123944077,,,0.3466501235961914,0.001411670591773,1287966883
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,51605,0,2061,0.2464822901504124,0.338328971829498,,,0.3332459926605224,0.0005869654878026,1910898276
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,12257,0,3636,0.5156765676567657,0.3984823757381676,,,0.1726150512695312,0.0014069712463647,2058414634
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,14755,0,1138,0.289103690685413,0.2386400267660547,,,0.1460630893707275,0.0013066930385381,688644171
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,11612,0,4281,0.7535622518103247,0.6431506802055111,,,0.1477770805358886,0.0008147778117859,2108832675
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,lda,14754,0,1139,0.8024582967515365,0.7693832190560275,,,0.1312952041625976,0.0017130971478201,546323979
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,lda,14752,0,1141,0.8422436459246275,0.8059069715369676,,,0.1295790672302246,0.0031061281142372,813097269
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,lda,14754,0,1139,0.8419666374012291,0.8192450189017695,,,0.1373548507690429,0.0017794524503444,459611127
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,lda,14753,0,1140,0.8508771929824561,0.8186243902868189,,,0.1328117847442627,0.0015762814304284,869292292
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,lda,14754,0,1139,0.8428446005267779,0.8117620164956743,,,0.1416158676147461,0.0039614324929737,1993391468
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,lda,14753,0,1140,0.8666666666666667,0.8410747219439927,,,0.1366121768951416,0.0017141041002775,476042812
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,lda,6528,0,2931,0.1804844762879563,0.1262578365752888,,,0.0798909664154052,0.0013487609894517,1166952346
intra_loso_session__VP_04__2026-03-25_15-12-50_5rep,lda,7931,0,1528,0.3403141361256545,0.1319602519356925,,,0.052415132522583,0.0025654962549658,1925861110
intra_loso_session__VP_04__2026-03-26_14-55-57_manual,lda,5957,0,3502,0.3557966876070816,0.1832015275350818,,,0.0651180744171142,0.001532019784558,2093096390
