subject_id,session_id,path,n_frames,duration_s,rms_max,rms_p50,rms_p95,profile_threshold,optimal_threshold,asrec_accuracy,asrec_precision,asrec_recall,asrec_f1,asrec_pos_rate,asrec_pos_rate_truth,profile_accuracy,profile_precision,profile_recall,profile_f1,opt_accuracy,opt_precision,opt_recall,opt_f1,auc,asrec_tp,asrec_fp,asrec_fn,asrec_tn,profile_tp,profile_fp,profile_fn,profile_tn,opt_tp,opt_fp,opt_fn,opt_tn,suspect_threshold,excluded,exclude_reason,notes,group,group_label
02_test_emg,emg_2026-03-26_11-11-05,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-03-26_11-11-05.csv,129654,64.828675,0.003948,0.000408,0.000622,0.000460,0.000457,0.742607,0.000000,0.000000,0.000000,0.000000,0.257393,0.742885,0.500606,0.445523,0.471461,0.737748,0.489960,0.460626,0.474840,0.676621,0,0,33372,96282,14868,14832,18504,81450,15372,16002,18000,80280,False,False,,profile history @ 2026-03-26 11:10:59 [0.46 mV → 0.00046 V],?,unknown
02_test_emg,emg_2026-03-26_12-56-47,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-03-26_12-56-47.csv,144108,72.049249,0.004462,0.000139,0.002598,0.000200,0.000166,0.753435,0.000000,0.000000,0.000000,0.000000,0.246565,0.834749,0.643077,0.741135,0.688633,0.841869,0.631599,0.860689,0.728559,0.884050,0,0,35532,108576,26334,14616,9198,93960,30582,17838,4950,90738,False,False,,profile history @ 2026-03-26 12:56:43 [0.2 mV → 0.0002 V],?,unknown
Kinderuni,emg_2026-03-30_14-43-31,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_14-43-31.csv,145800,72.894426,0.000625,0.000021,0.000244,0.000100,0.000043,0.592840,0.000000,0.000000,0.000000,0.000000,0.407160,0.761358,0.829233,0.521225,0.640104,0.817407,0.793292,0.745907,0.768870,0.822762,0,0,59364,86436,30942,6372,28422,80064,44280,11538,15084,74898,False,False,,profile history @ 2026-03-30 14:43:11 [0.1 mV → 0.0001 V],?,unknown
Kinderuni,emg_2026-03-30_14-54-23,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_14-54-23.csv,174924,87.460585,0.007868,0.000296,0.001631,0.000140,0.000088,0.480037,0.000000,0.000000,0.000000,0.000000,0.519963,0.550628,0.542117,0.873738,0.669091,0.541778,0.532432,0.974669,0.688667,0.528932,0,0,90954,83970,79470,67122,11484,16848,88650,77850,2304,6120,False,False,,profile history @ 2026-03-30 14:54:04 [0.14 mV → 0.00014 V],?,unknown
Kinderuni,emg_2026-03-30_14-57-57,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_14-57-57.csv,38268,19.133721,0.005100,0.000095,0.000938,0.000100,0.000097,0.818909,0.000000,0.000000,0.000000,0.000000,0.181091,0.629351,0.303415,0.807792,0.441135,0.625588,0.304099,0.828571,0.444909,0.706260,0,0,6930,31338,5598,12852,1332,18486,5742,13140,1188,18198,False,False,,profile history @ 2026-03-30 14:56:50 [0.1 mV → 0.0001 V],?,unknown
Kinderuni,emg_2026-03-30_15-03-28,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-03-28.csv,38214,19.105585,0.000485,0.000044,0.000148,0.000100,0.000045,0.766839,0.000000,0.000000,0.000000,0.000000,0.233161,0.744701,0.425868,0.272727,0.332512,0.658031,0.387973,0.808081,0.524246,0.726840,0,0,8910,29304,2430,3276,6480,26028,7200,11358,1710,17946,False,False,,profile history @ 2026-03-30 15:02:32 [0.1 mV → 0.0001 V],?,unknown
Kinderuni,emg_2026-03-30_15-06-10,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-06-10.csv,48672,24.330364,0.001480,0.000031,0.000372,0.000100,0.000033,0.657175,0.000000,0.000000,0.000000,0.000000,0.342825,0.733728,0.621908,0.569579,0.594595,0.819527,0.666414,0.948220,0.782725,0.843591,0,0,16686,31986,9504,5778,7182,26208,15822,7920,864,24066,False,False,,profile history @ 2026-03-30 15:04:43 [0.1 mV → 0.0001 V],?,unknown
Kinderuni,emg_2026-03-30_15-07-43,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-07-43.csv,166176,83.089783,0.003496,0.000094,0.000474,0.000180,0.000105,0.762782,0.000000,0.000000,0.000000,0.000000,0.237218,0.713713,0.409364,0.467123,0.436340,0.667353,0.396911,0.774429,0.524834,0.704336,0,0,39420,126756,18414,26568,21006,100188,30528,46386,8892,80370,False,False,,profile history @ 2026-03-30 15:07:37 [0.18 mV → 0.00018 V],?,unknown
Kinderuni,emg_2026-03-30_15-09-53,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-09-53.csv,146430,73.215851,0.007476,0.000310,0.002438,0.000270,0.000606,0.865519,0.000000,0.000000,0.000000,0.000000,0.134481,0.522803,0.188422,0.770567,0.302802,0.736202,0.264548,0.540219,0.355168,0.694995,0,0,19692,126738,15174,65358,4518,61380,10638,29574,9054,97164,False,False,,profile history @ 2026-03-30 15:09:46 [0.27 mV → 0.00027 V],?,unknown
Kinderuni,emg_2026-03-30_15-12-10,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-12-10.csv,141966,70.975254,0.004786,0.000051,0.000577,0.000230,0.000087,0.656143,0.000000,0.000000,0.000000,0.000000,0.343857,0.747052,0.717141,0.436578,0.542746,0.752631,0.619316,0.728245,0.669378,0.773491,0,0,48816,93150,21312,8406,27504,84744,35550,21852,13266,71298,False,False,,profile history @ 2026-03-30 15:11:53 [0.23 mV → 0.00023 V],?,unknown
