type,subject_id,session_id,auto_status,review_status,comment,n_trials,n_valid,n_invalid,duration_s,sampling_rate,num_channels,bad_channels,signal_rms,frac_zeros,frac_saturated,model_val_acc,rotation_confidence,issues,warnings,path
session,VP_04,UNITY_emg_2026-03-26_14-36-21_obstacle,OK,VALID,,13,13,0,,2000,32,[],0.0,0.126,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-26_14-36-21_obstacle
session,VP_04,UNITY_emg_2026-03-26_14-40-44_mirrored,OK,VALID,,13,13,0,,2000,32,[],0.0,0.189,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-26_14-40-44_mirrored
session,VP_04,UNITY_emg_2026-03-26_14-43-14_mirrored,OK,VALID,,13,13,0,,2000,32,[],0.0002,0.125,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-26_14-43-14_mirrored
session,VP_04,UNITY_emg_2026-03-27_10-31-37_normal,OK,VALID,,13,13,0,,2000,32,[],0.0,0.133,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-27_10-31-37_normal
session,VP_04,UNITY_emg_2026-03-27_10-34-18_normal,OK,VALID,,13,13,0,,2000,32,[],0.0001,0.128,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-27_10-34-18_normal
session,VP_04,UNITY_emg_2026-03-27_10-36-30_normal,OK,VALID,,13,13,0,,2000,32,[],0.0,0.142,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-27_10-36-30_normal
session,VP_04,UNITY_emg_2026-03-27_11-00-06_normal,OK,VALID,,13,13,0,,2000,32,[],0.0,0.132,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_04/UNITY_emg_2026-03-27_11-00-06_normal
session,VP_09,UNITY_emg_2026-04-02_10-10-57,OK,VALID,,11,11,0,,2000,32,[],0.0,0.226,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_09/UNITY_emg_2026-04-02_10-10-57
session,VP_09,UNITY_emg_2026-04-02_10-12-47,OK,VALID,,13,13,0,,2000,32,[],0.0001,0.255,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_09/UNITY_emg_2026-04-02_10-12-47
session,VP_09,UNITY_emg_2026-04-02_10-18-30,OK,VALID,,13,13,0,,2000,32,[],0.0,0.226,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_09/UNITY_emg_2026-04-02_10-18-30
session,VP_11,UNITY_emg_2026-04-17_14-19-33,OK,VALID,,13,13,0,,2000,32,[],0.0,0.281,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-17_14-19-33
session,VP_11,UNITY_emg_2026-04-17_14-27-37,OK,VALID,,13,13,0,,2000,32,[],0.0,0.291,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-17_14-27-37
session,VP_11,UNITY_emg_2026-04-17_14-37-43,OK,VALID,,13,13,0,,2000,32,[],0.0,0.285,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-17_14-37-43
session,VP_11,UNITY_emg_2026-04-17_14-47-29,OK,VALID,,13,13,0,,2000,32,[],0.0,0.295,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-17_14-47-29
session,VP_11,UNITY_emg_2026-04-18_11-35-09,OK,VALID,,13,13,0,,2000,32,[],0.0001,0.219,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-18_11-35-09
session,VP_11,UNITY_emg_2026-04-18_11-39-12,OK,VALID,,13,13,0,,2000,32,[],0.0,0.267,0.0,,,,,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/sessions/unity_sessions/VP_11/UNITY_emg_2026-04-18_11-39-12
game,KinderUni,game_2026-03-30_13-44-17,WARN,VALID,,,,,205.37,2000,32,,0.11529,0.251,0.0,0.9078947368421053,0.3452,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.34,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/KinderUni/game_2026-03-30_13-44-17
game,KinderUni,game_2026-03-30_14-06-41,WARN,INVALID,,,,,45.95,2000,32,,0.02712,0.255,0.0,0.9166666666666666,0.3362,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/KinderUni/game_2026-03-30_14-06-41
game,KinderUni,game_2026-03-30_14-08-53,WARN,INVALID,,,,,49.66,2000,32,,0.04896,0.502,0.0,0.9166666666666666,0.3362,,Ground truth never active in sampled rows (first 300) | 50% of sampled EMG values are zero,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/KinderUni/game_2026-03-30_14-08-53
game,VP_01,game_2026-03-20_11-14-47,WARN,VALID,,,,,79.7,2000,32,,0.00765,0.502,0.0,0.9736842105263158,0.2753,,Low rotation confidence: 0.275 | Ground truth never active in sampled rows (first 300) | 50% of sampled EMG values are zero,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-20_11-14-47
game,VP_01,game_2026-03-23_15-02-15 2,WARN,INVALID,,,,,58.09,2000,32,,0.02743,0.129,0.0,0.9870689655172413,0.3291,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-23_15-02-15 2
game,VP_01,game_2026-03-23_15-08-40,WARN,VALID,,,,,91.86,2000,32,,0.03162,0.129,0.0,0.9525862068965517,0.3291,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.10,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-23_15-08-40
game,VP_01,game_2026-03-23_15-27-20,WARN,VALID,,,,,75.4,2000,32,,0.01053,0.134,0.0,0.9525862068965517,,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.32 | CSV has only 73% of expected rows (109908 vs ~150800),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-23_15-27-20
game,VP_01,game_2026-03-24_09-00-13,WARN,VALID,,,,,142.63,2000,32,,0.04891,0.128,0.0,0.9692982456140351,0.194,,Low rotation confidence: 0.194 | Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-24_09-00-13
game,VP_01,game_2026-03-25_10-38-16,WARN,VALID,,,,,112.23,2000,32,,0.00561,0.143,0.0,0.9906651108518086,0.3611,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_10-38-16
game,VP_01,game_2026-03-25_13-11-22,WARN,VALID,,,,,81.54,2000,32,,0.05171,0.128,0.0,0.9754959159859977,0.4567,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.38,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_13-11-22
game,VP_01,game_2026-03-25_13-40-23,WARN,VALID,,,,,83.47,2000,32,,0.00998,0.135,0.0,0.9780701754385965,0.3354,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_13-40-23
game,VP_01,game_2026-03-25_13-50-28,WARN,VALID,,,,,69.62,2000,32,,0.0595,0.125,0.0,0.9780701754385965,,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.36,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_13-50-28
game,VP_01,game_2026-03-25_13-59-08,WARN,VALID,,,,,74.17,2000,32,,0.00654,0.138,0.0,0.9912280701754386,0.345,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_13-59-08
game,VP_01,game_2026-03-25_14-06-47,WARN,VALID,,,,,91.82,2000,32,,0.0456,0.126,0.0,0.9912280701754386,0.4151,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_14-06-47
game,VP_01,game_2026-03-25_14-18-38,WARN,VALID,,,,,76.65,2000,32,,0.0397,0.126,0.0,0.9912280701754386,0.4103,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_14-18-38
game,VP_01,game_2026-03-25_14-24-35,WARN,VALID,,,,,57.15,2000,32,,0.03108,0.128,0.0,0.9912280701754386,0.4224,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_14-24-35
game,VP_01,game_2026-03-25_14-30-27,WARN,INVALID,,,,,,2000,32,,0.00638,0.138,0.0,0.9912280701754386,0.4092,,No finished_at timestamp — recording may be incomplete | Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_14-30-27
game,VP_01,game_2026-03-25_14-32-43,WARN,VALID,,,,,68.45,2000,32,,0.02572,0.13,0.0,0.9912280701754386,0.4094,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-25_14-32-43
game,VP_01,game_2026-03-26_11-17-34,WARN,INVALID,,,,,47.8,2000,32,,0.03806,0.13,0.0,0.9888712241653418,0.3348,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-26_11-17-34
game,VP_01,game_2026-03-26_11-18-34,WARN,VALID,,,,,92.85,2000,32,,0.04286,0.132,0.0,0.9888712241653418,0.3348,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-26_11-18-34
game,VP_01,game_2026-03-26_12-21-56,WARN,VALID,,,,,92.01,2000,32,,0.06501,0.015,0.0,0.9888712241653418,0.3044,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-26_12-21-56
game,VP_01,game_2026-03-26_12-42-12,WARN,VALID,,,,,89.86,2000,32,,0.00669,0.138,0.0,1.0,0.3577,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-26_12-42-12
game,VP_01,game_2026-03-30_09-46-36,WARN,VALID,,,,,80.96,2000,32,,0.01139,0.135,0.0,0.9517543859649122,0.3231,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-03-30_09-46-36
game,VP_01,game_2026-04-15_13-34-30,WARN,INVALID,,,,,,2000,32,,0.03577,0.129,0.0,0.9888712241653418,0.3789,,No finished_at timestamp — recording may be incomplete | Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-04-15_13-34-30
game,VP_01,game_2026-04-15_14-06-44,WARN,VALID,,,,,70.63,2000,32,,0.06697,0.128,0.0,0.9888712241653418,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-04-15_14-06-44
game,VP_01,game_2026-05-04_09-41-35,WARN,INVALID,,,,,28.61,2000,32,,0.04472,0.128,0.0,0.9773299748110831,,,Recording short: 28.6s | Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-05-04_09-41-35
game,VP_01,game_2026-05-04_09-47-12,WARN,VALID,,,,,140.04,2000,32,,0.04877,0.128,0.0,0.9560975609756097,0.3288,,Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.00,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_01/game_2026-05-04_09-47-12
